                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.72655,                0.98976,                  1.189,                 0.9111,                      1,                0.97335,                0.83297,                0.69518,                  2.004,                  1.197,              0.0007055,              0.0007055,              0.0007055
                     36,                 0.6839,                0.90306,                 1.1578,                0.90895,                0.89902,                0.97264,                0.85512,                0.58926,                 2.0293,                   1.11,               0.000689,               0.000689,               0.000689
                     37,                0.71352,                0.91038,                 1.1966,                0.88303,                0.91307,                0.99322,                0.88696,                0.53797,                 2.1299,                 1.0831,              0.0006725,              0.0006725,              0.0006725
                     38,                0.62059,                0.96879,                 1.1148,                0.80224,                0.97164,                0.94748,                0.82014,                0.52799,                 2.0653,                 1.0807,               0.000656,               0.000656,               0.000656
                     39,                0.63933,                0.93676,                  1.135,                 0.9508,                      1,                  0.995,                 0.8765,                 0.5416,                 1.9106,                 1.0474,              0.0006395,              0.0006395,              0.0006395
                     40,                0.63733,                0.94465,                 1.1265,                0.86816,                0.94925,                0.96973,                0.84191,                0.56355,                 1.9045,                 1.1029,               0.000623,               0.000623,               0.000623
                     41,                0.61944,                0.93547,                 1.1266,                0.95319,                0.98593,                0.99446,                0.89429,                0.44221,                 1.6104,                 1.0021,              0.0006065,              0.0006065,              0.0006065
                     42,                0.62998,                0.84253,                 1.1488,                0.95023,                0.94953,                0.99005,                 0.8705,                0.57416,                 1.9854,                 1.0904,                0.00059,                0.00059,                0.00059
                     43,                0.60989,                 0.8777,                 1.1118,                 0.9541,                      1,                 0.9925,                 0.8969,                 0.4501,                 2.0419,                0.94723,              0.0005735,              0.0005735,              0.0005735
                     44,                  0.635,                0.87518,                 1.1271,                0.96248,                0.99457,                  0.995,                0.91999,                0.44369,                 2.0791,                0.97001,               0.000557,               0.000557,               0.000557
                     45,                0.58099,                0.90455,                 1.1108,                0.98813,                0.97671,                  0.995,                0.91452,                0.43514,                 1.9739,                0.97636,              0.0005405,              0.0005405,              0.0005405
                     46,                0.56455,                0.88416,                 1.0767,                0.96941,                      1,                  0.995,                0.92721,                0.41426,                 1.7641,                0.92895,               0.000524,               0.000524,               0.000524
                     47,                0.56118,                0.77746,                 1.0895,                0.94126,                      1,                0.99304,                0.91453,                0.42481,                 2.0931,                0.93668,              0.0005075,              0.0005075,              0.0005075
                     48,                0.57038,                0.89239,                 1.0811,                0.91024,                      1,                0.99018,                0.91537,                0.41927,                 2.0017,                0.93406,               0.000491,               0.000491,               0.000491
                     49,                 0.5622,                 0.8155,                  1.086,                0.92852,                0.92999,                0.99202,                0.92513,                0.40517,                  2.114,                0.92497,              0.0004745,              0.0004745,              0.0004745
                     50,                0.54808,                0.83791,                  1.062,                0.99143,                      1,                  0.995,                0.94319,                 0.3662,                 1.7648,                0.91856,               0.000458,               0.000458,               0.000458
                     51,                0.52502,                0.79894,                  1.083,                 0.9401,                0.98258,                0.99262,                  0.924,                0.39382,                 1.7172,                0.92766,              0.0004415,              0.0004415,              0.0004415
                     52,                0.55025,                0.80964,                 1.0958,                0.93982,                0.95581,                0.99143,                0.90635,                 0.4102,                 1.7903,                0.94304,               0.000425,               0.000425,               0.000425
                     53,                 0.5443,                0.78749,                 1.0826,                0.98113,                      1,                  0.995,                0.93989,                0.36967,                 1.7965,                0.92135,              0.0004085,              0.0004085,              0.0004085
                     54,                0.49651,                0.78363,                 1.0508,                0.95719,                      1,                  0.995,                0.93523,                 0.3809,                 1.9136,                0.92265,               0.000392,               0.000392,               0.000392
                     55,                 0.4932,                0.74112,                 1.0271,                0.96249,                      1,                  0.995,                0.93557,                0.37935,                 1.9464,                0.91911,              0.0003755,              0.0003755,              0.0003755
                     56,                0.49022,                0.76068,                 1.0411,                0.98087,                      1,                  0.995,                0.93658,                0.35771,                 1.9216,                0.89015,               0.000359,               0.000359,               0.000359
                     57,                0.48942,                0.81972,                 1.0557,                0.97881,                      1,                  0.995,                0.94089,                0.35398,                 1.8436,                0.89256,              0.0003425,              0.0003425,              0.0003425
                     58,                 0.4654,                0.73074,                 1.0202,                 0.9601,                      1,                  0.995,                0.92997,                 0.3809,                 1.8346,                0.89183,               0.000326,               0.000326,               0.000326
                     59,                0.45022,                 0.8207,                 1.0271,                0.92737,                      1,                0.99381,                0.93622,                 0.3485,                 1.8656,                0.86944,              0.0003095,              0.0003095,              0.0003095
                     60,                0.46643,                0.81015,                 1.0443,                0.94873,                      1,                  0.995,                0.96703,                 0.3452,                 1.8898,                 0.8647,               0.000293,               0.000293,               0.000293
                     61,                0.47133,                0.75325,                 1.0234,                 0.9713,                      1,                  0.995,                0.94446,                0.34588,                 1.8231,                0.88242,              0.0002765,              0.0002765,              0.0002765
                     62,                0.47508,                0.78732,                 1.0322,                0.95241,                      1,                  0.995,                0.93119,                0.34442,                 1.7271,                0.88158,                0.00026,                0.00026,                0.00026
                     63,                0.44043,                0.73198,                 1.0116,                0.96674,                      1,                  0.995,                0.95261,                 0.3253,                 1.7983,                0.86532,              0.0002435,              0.0002435,              0.0002435
                     64,                 0.4449,                0.75701,                 1.0192,                 0.9752,                      1,                  0.995,                0.95771,                0.30916,                  1.857,                0.84708,               0.000227,               0.000227,               0.000227
                     65,                0.41044,                0.70793,                 1.0022,                0.97985,                      1,                  0.995,                0.95993,                0.29864,                 1.8904,                  0.835,              0.0002105,              0.0002105,              0.0002105
                     66,                0.31442,                0.63086,                0.93541,                0.97846,                      1,                  0.995,                0.94981,                  0.308,                 1.9347,                0.83135,               0.000194,               0.000194,               0.000194
                     67,                0.33877,                0.62417,                0.94758,                0.97885,                      1,                  0.995,                0.95726,                0.29444,                 1.9402,                0.83163,              0.0001775,              0.0001775,              0.0001775
                     68,                0.31034,                0.64128,                0.89417,                0.97922,                      1,                  0.995,                0.96198,                0.29474,                 1.9642,                 0.8259,               0.000161,               0.000161,               0.000161
                     69,                0.29168,                0.59731,                0.92846,                 0.9813,                      1,                  0.995,                0.97216,                0.27246,                 1.8935,                0.81857,              0.0001445,              0.0001445,              0.0001445
                     70,                0.27491,                0.59652,                0.91353,                0.98056,                      1,                  0.995,                0.96179,                0.28836,                  1.877,                0.82593,               0.000128,               0.000128,               0.000128
                     71,                 0.2639,                0.58786,                0.89472,                0.98131,                      1,                  0.995,                0.96387,                0.27061,                 1.8862,                0.81078,              0.0001115,              0.0001115,              0.0001115
                     72,                0.26386,                0.58533,                0.90835,                0.98252,                      1,                  0.995,                0.96635,                0.25342,                 1.8866,                0.80597,                9.5e-05,                9.5e-05,                9.5e-05
                     73,                 0.2497,                0.55906,                0.88462,                0.98275,                      1,                  0.995,                0.96336,                0.24429,                 1.8793,                0.79937,               7.85e-05,               7.85e-05,               7.85e-05
                     74,                0.25617,                0.57244,                 0.8879,                0.99291,                      1,                  0.995,                0.96908,                0.23579,                 1.8817,                0.79852,                6.2e-05,                6.2e-05,                6.2e-05
                     75,                0.24602,                0.57445,                0.89279,                0.99302,                      1,                  0.995,                0.97289,                0.22775,                 1.8963,                0.79462,               4.55e-05,               4.55e-05,               4.55e-05
