                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3349,                 1.5858,                 1.7331,                0.96252,                0.81258,                0.95498,                 0.5089,                  1.569,                  2.223,                 1.9945,             0.00077254,             0.00077254,             0.00077254
                     35,                 1.2915,                 1.5414,                  1.668,                0.93782,                0.87736,                0.98342,                0.61867,                 1.3088,                 2.2124,                 1.7364,             0.00074719,             0.00074719,             0.00074719
                     36,                 1.2233,                 1.5527,                 1.6567,                0.88493,                0.86199,                0.95112,                0.50853,                 1.5234,                 2.1751,                 1.8857,             0.00072164,             0.00072164,             0.00072164
                     37,                 1.2684,                 1.4932,                 1.7071,                0.90589,                0.86905,                0.96137,                0.66545,                 1.0941,                 2.2255,                  1.511,             0.00069593,             0.00069593,             0.00069593
                     38,                 1.2381,                 1.4865,                 1.6575,                0.87467,                0.92547,                0.96663,                0.54553,                  1.451,                  2.158,                 1.7852,              0.0006701,              0.0006701,              0.0006701
                     39,                 1.2411,                 1.4725,                 1.6698,                0.89145,                0.90226,                 0.9496,                0.57695,                 1.3705,                 2.0247,                 1.7709,             0.00064421,             0.00064421,             0.00064421
                     40,                 1.2282,                 1.4951,                 1.6618,                0.91393,                0.97251,                0.98162,                0.62616,                  1.291,                 1.9306,                 1.7318,             0.00061829,             0.00061829,             0.00061829
                     41,                 1.1423,                 1.4016,                 1.6067,                0.97601,                0.96506,                0.99029,                0.67818,                  1.137,                 1.9153,                 1.5984,              0.0005924,              0.0005924,              0.0005924
                     42,                 1.1657,                 1.4265,                 1.5962,                0.93483,                0.96684,                0.98528,                0.69762,                 1.0771,                 2.0028,                 1.5407,             0.00056657,             0.00056657,             0.00056657
                     43,                 1.2039,                 1.4443,                 1.6457,                0.93434,                0.90094,                0.97385,                0.66016,                 1.0802,                 1.9883,                 1.5321,             0.00054086,             0.00054086,             0.00054086
                     44,                 1.1121,                 1.3486,                 1.5479,                0.89887,                0.92593,                0.97761,                 0.6138,                 1.3033,                 2.1608,                 1.7011,             0.00051531,             0.00051531,             0.00051531
                     45,                 1.1634,                 1.2784,                 1.5839,                0.94536,                0.98844,                0.98982,                0.64332,                 1.1721,                 2.1448,                 1.5852,             0.00048996,             0.00048996,             0.00048996
                     46,                 1.0899,                 1.3474,                 1.5483,                0.95486,                  0.975,                0.98988,                0.66556,                 1.1506,                 2.1328,                 1.5535,             0.00046486,             0.00046486,             0.00046486
                     47,                 1.1581,                 1.3747,                 1.6146,                0.95843,                  0.975,                0.98607,                0.70433,                0.94479,                 1.9708,                 1.3751,             0.00044005,             0.00044005,             0.00044005
                     48,                 1.0713,                 1.3171,                 1.5651,                0.94822,                0.91096,                 0.9761,                0.68018,                 1.0063,                 1.9498,                 1.4123,             0.00041557,             0.00041557,             0.00041557
                     49,                 1.1698,                 1.3294,                 1.6078,                0.94243,                0.90272,                0.95543,                0.70142,                0.94683,                  2.036,                 1.3874,             0.00039147,             0.00039147,             0.00039147
                     50,                 1.0927,                 1.2444,                 1.5436,                0.96367,                0.93302,                0.99024,                0.68917,                 1.0389,                  2.102,                 1.4641,              0.0003678,              0.0003678,              0.0003678
                     51,                 1.0767,                 1.2531,                 1.5301,                0.96959,                0.93682,                  0.995,                0.71685,                0.95035,                 2.0341,                 1.4046,             0.00034459,             0.00034459,             0.00034459
                     52,                 1.0431,                 1.2118,                 1.4907,                0.98473,                0.90198,                  0.995,                0.67728,                 1.0574,                 2.0692,                 1.5101,             0.00032187,             0.00032187,             0.00032187
                     53,                 1.0826,                 1.2008,                  1.515,                0.96288,                0.91604,                  0.995,                0.72083,                0.96132,                 2.0719,                 1.4206,             0.00029971,             0.00029971,             0.00029971
                     54,                 1.1496,                 1.2641,                 1.5416,                0.99325,                0.97692,                  0.995,                0.67764,                 1.1154,                  2.022,                 1.5331,             0.00027812,             0.00027812,             0.00027812
                     55,                  1.052,                  1.248,                 1.5123,                0.99185,                 0.9435,                  0.995,                 0.7639,                0.85877,                 1.9479,                 1.3323,             0.00025715,             0.00025715,             0.00025715
                     56,                 1.0015,                 1.2449,                 1.4872,                0.95916,                 0.9257,                0.99143,                0.70074,                0.98015,                 1.9879,                 1.4243,             0.00023684,             0.00023684,             0.00023684
                     57,                  1.035,                  1.292,                 1.4921,                0.98613,                0.93694,                  0.995,                0.76431,                0.86034,                 1.9646,                 1.3258,             0.00021723,             0.00021723,             0.00021723
                     58,                 1.0638,                 1.1764,                 1.5041,                0.98733,                0.99532,                  0.995,                0.72403,                0.99052,                 1.9468,                 1.4134,             0.00019833,             0.00019833,             0.00019833
                     59,                0.99181,                 1.2386,                 1.4871,                 0.9884,                      1,                  0.995,                0.69016,                 1.0842,                 1.9304,                 1.4912,              0.0001802,              0.0001802,              0.0001802
                     60,                 1.0566,                 1.1848,                 1.5349,                 0.9888,                      1,                  0.995,                0.74695,                0.93564,                 1.9325,                 1.3854,             0.00016286,             0.00016286,             0.00016286
                     61,                 0.9709,                 1.1579,                  1.445,                0.98724,                      1,                  0.995,                0.78211,                0.86123,                 1.9486,                 1.3284,             0.00014634,             0.00014634,             0.00014634
                     62,                0.98763,                 1.1582,                 1.4691,                0.98437,                      1,                  0.995,                0.76285,                0.87425,                 1.9836,                 1.3362,             0.00013067,             0.00013067,             0.00013067
                     63,                 1.0336,                 1.1963,                  1.521,                0.98308,                      1,                  0.995,                0.75115,                0.86278,                 1.9756,                 1.3277,             0.00011588,             0.00011588,             0.00011588
                     64,                0.95814,                 1.1334,                   1.42,                0.98132,                      1,                  0.995,                0.74084,                0.90378,                 1.9577,                 1.3386,             0.00010199,             0.00010199,             0.00010199
                     65,                  1.006,                 1.1475,                 1.4882,                0.99332,                      1,                  0.995,                0.71874,                 1.0237,                 1.9406,                 1.4228,             8.9035e-05,             8.9035e-05,             8.9035e-05
                     66,                0.74949,                 1.0046,                 1.4724,                0.99034,                      1,                  0.995,                0.71516,                 1.0571,                 1.9168,                 1.4328,             7.7028e-05,             7.7028e-05,             7.7028e-05
                     67,                0.78215,                0.95461,                 1.4547,                0.98965,                      1,                  0.995,                0.73825,                0.95614,                 1.8799,                 1.3534,             6.5994e-05,             6.5994e-05,             6.5994e-05
                     68,                0.78788,                0.96156,                  1.428,                0.98762,                      1,                  0.995,                0.77448,                0.84992,                 1.8783,                 1.2827,             5.5951e-05,             5.5951e-05,             5.5951e-05
                     69,                0.74735,                0.91393,                 1.4932,                0.98753,                      1,                  0.995,                0.77376,                0.82531,                 1.8863,                 1.2721,             4.6917e-05,             4.6917e-05,             4.6917e-05
                     70,                0.70838,                0.89183,                 1.3831,                0.98944,                      1,                  0.995,                0.77308,                 0.8339,                 1.9031,                 1.2843,             3.8909e-05,             3.8909e-05,             3.8909e-05
                     71,                0.68523,                 0.8923,                  1.359,                0.99035,                      1,                  0.995,                0.77367,                 0.8295,                 1.9143,                 1.2812,             3.1939e-05,             3.1939e-05,             3.1939e-05
                     72,                0.75099,                0.89346,                 1.4638,                0.99254,                0.99918,                  0.995,                0.77647,                0.81675,                 1.9287,                 1.2696,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     73,                0.70016,                0.87992,                 1.3868,                0.99255,                0.99922,                  0.995,                0.77795,                0.80034,                 1.9341,                 1.2562,             2.1165e-05,             2.1165e-05,             2.1165e-05
                     74,                 0.7036,                 0.8777,                 1.3538,                0.99346,                0.99835,                  0.995,                 0.7788,                0.79117,                 1.9375,                 1.2487,             1.7379e-05,             1.7379e-05,             1.7379e-05
                     75,                0.73163,                0.88262,                 1.3988,                0.99208,                 0.9978,                  0.995,                0.78206,                0.79224,                 1.9422,                 1.2525,              1.467e-05,              1.467e-05,              1.467e-05
