                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93043,                 3.4969,                  1.397,                0.00512,                      1,                0.48047,                0.32747,                0.54854,                 3.7687,                  1.321,             0.00015003,             0.00015003,             0.00015003
                      2,                0.79611,                 2.6215,                 1.2764,                0.00536,                      1,                0.55036,                0.41552,                0.66466,                 3.5086,                 1.3568,             0.00030628,             0.00030628,             0.00030628
                      3,                0.75217,                 2.2401,                 1.2579,                0.00449,                      1,                 0.5265,                0.34353,                 0.6334,                 3.3708,                 1.3922,             0.00045152,             0.00045152,             0.00045152
                      4,                0.65875,                  2.037,                 1.1803,                 0.6776,                0.42379,                0.80056,                0.56842,                0.86897,                 3.4299,                 1.6891,             0.00058577,             0.00058577,             0.00058577
                      5,                0.83199,                 2.0263,                 1.2684,                      1,                0.20099,                0.73245,                0.53952,                0.89536,                 3.4841,                 1.7136,             0.00070901,             0.00070901,             0.00070901
                      6,                0.77746,                 1.9091,                 1.2346,                0.88706,                0.41667,                0.75132,                0.56348,                0.94454,                 2.7044,                 1.6406,             0.00082125,             0.00082125,             0.00082125
                      7,                 0.7362,                 1.7933,                 1.2471,                0.79177,                0.41667,                0.48763,                0.34652,                 1.0675,                 3.2992,                 1.9417,             0.00092248,             0.00092248,             0.00092248
                      8,                0.77639,                  1.661,                 1.2441,                0.77321,                0.92497,                0.82917,                0.45819,                 1.0276,                 2.9142,                  1.671,              0.0010127,              0.0010127,              0.0010127
                      9,                0.83983,                 1.9407,                  1.313,                0.66006,                    0.5,                0.65488,                0.48938,                 1.3345,                 4.0682,                 2.0307,               0.001092,               0.001092,               0.001092
                     10,                0.73453,                 1.6525,                 1.1849,                0.78595,                0.66667,                0.73012,                0.49248,                0.98306,                 2.9862,                 1.7609,              0.0011602,              0.0011602,              0.0011602
                     11,                0.74851,                 1.5039,                  1.232,                0.65264,                0.87421,                0.91518,                 0.5086,                 1.3999,                 3.2643,                 2.2792,              0.0011169,              0.0011169,              0.0011169
                     12,                0.77152,                 1.5524,                 1.2121,                0.74054,                0.74981,                0.81008,                0.34134,                 1.3792,                 2.7144,                 2.4319,              0.0011169,              0.0011169,              0.0011169
                     13,                0.78236,                 1.4978,                 1.2584,                 0.4375,                 0.8641,                0.78792,                0.52641,                 1.1494,                 2.2943,                 2.1799,              0.0010619,              0.0010619,              0.0010619
                     14,                0.73411,                 1.4042,                 1.1778,                 0.8124,                0.41667,                 0.5573,                0.24282,                 1.4974,                 3.5744,                 2.5054,              0.0010069,              0.0010069,              0.0010069
                     15,                0.69208,                 1.3171,                 1.1581,                 0.8206,                0.91667,                0.88867,                0.49817,                 1.0614,                 2.8727,                 2.0892,             0.00095186,             0.00095186,             0.00095186
                     16,                0.73446,                 1.3583,                 1.2039,                 0.8205,                0.66667,                0.80962,                0.53549,                   1.43,                  2.717,                 2.6358,             0.00089685,             0.00089685,             0.00089685
                     17,                0.72626,                 1.2834,                 1.1657,                0.85115,                0.65955,                0.73476,                0.55897,                 1.0821,                 2.5332,                 1.8705,             0.00084184,             0.00084184,             0.00084184
                     18,                0.62524,                 1.2507,                  1.132,                0.83282,                0.90779,                0.81988,                0.54314,                 1.3618,                 2.3367,                 2.1305,             0.00078682,             0.00078682,             0.00078682
                     19,                0.59661,                 1.1301,                 1.0931,                0.73634,                0.87416,                0.87351,                0.54038,                 1.2571,                 2.3488,                 2.0122,             0.00073181,             0.00073181,             0.00073181
                     20,                0.68852,                 1.2063,                 1.1791,                0.81967,                0.88714,                0.89092,                0.51573,                 1.4026,                 2.1972,                   2.26,              0.0006768,              0.0006768,              0.0006768
                     21,                0.56024,                 1.4735,                 1.1358,                0.77064,                0.83333,                0.81769,                0.53587,                 1.3268,                 2.2855,                 2.1946,             0.00062179,             0.00062179,             0.00062179
                     22,                 0.5663,                 1.4505,                  1.176,                0.67477,                0.91667,                0.66644,                0.45764,                 1.2327,                 2.1735,                 2.0259,             0.00056678,             0.00056678,             0.00056678
                     23,                0.50322,                  1.326,                 1.0871,                0.99742,                0.88075,                0.91573,                0.65244,                 1.1126,                 1.9038,                 1.9107,             0.00051177,             0.00051177,             0.00051177
                     24,                 0.4577,                 1.2019,                 1.0275,                 0.9768,                0.88988,                0.93682,                0.70275,                 0.8539,                  1.622,                 1.7726,             0.00045676,             0.00045676,             0.00045676
