                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.53363,                0.55118,                 1.0197,                 0.9988,                      1,                  0.995,                0.93369,                0.38991,                0.44783,                  1.011,              0.0006932,              0.0006932,              0.0006932
                     36,                0.49606,                0.55304,                 1.0449,                0.99946,                      1,                  0.995,                 0.9381,                 0.3827,                0.43263,                 1.0049,              0.0006536,              0.0006536,              0.0006536
                     37,                0.47894,                0.50518,                 1.0125,                0.99937,                      1,                  0.995,                0.95653,                0.33514,                0.39265,                0.97964,               0.000614,               0.000614,               0.000614
                     38,                0.53701,                0.53675,                  1.153,                0.99955,                      1,                  0.995,                0.93225,                0.34873,                0.39307,                0.99659,              0.0005744,              0.0005744,              0.0005744
                     39,                0.47567,                 0.4985,                 1.0209,                0.99921,                      1,                  0.995,                0.96246,                0.30392,                0.37754,                0.96952,              0.0005348,              0.0005348,              0.0005348
                     40,                  0.439,                0.50567,                 1.0132,                0.99954,                      1,                  0.995,                0.95801,                0.31806,                0.37087,                0.98515,              0.0004952,              0.0004952,              0.0004952
                     41,                0.40115,                0.57155,                  1.002,                0.99951,                      1,                  0.995,                0.96668,                0.32331,                 0.4088,                0.96453,              0.0004556,              0.0004556,              0.0004556
                     42,                0.33041,                0.48019,                 0.8965,                0.98331,                      1,                0.99339,                0.95244,                0.30709,                 0.4242,                0.95505,               0.000416,               0.000416,               0.000416
                     43,                0.46069,                0.49248,                 1.1423,                0.96849,                0.99454,                0.99244,                0.94431,                0.30551,                0.42759,                0.94465,              0.0003764,              0.0003764,              0.0003764
                     44,                0.31216,                 0.4333,                0.92686,                0.98159,                0.99454,                0.99403,                0.96782,                0.27859,                0.41125,                0.92746,              0.0003368,              0.0003368,              0.0003368
                     45,                0.30487,                0.45217,                0.92951,                0.98321,                      1,                0.99484,                0.97532,                0.27169,                0.37544,                0.91702,              0.0002972,              0.0002972,              0.0002972
                     46,                0.27758,                0.40242,                0.91533,                0.99818,                0.98907,                0.99484,                0.97741,                0.24506,                0.35025,                0.90231,              0.0002576,              0.0002576,              0.0002576
                     47,                0.27369,                0.39236,                0.89642,                0.99788,                      1,                  0.995,                0.98125,                0.22843,                0.33061,                0.89649,               0.000218,               0.000218,               0.000218
                     48,                0.27535,                0.38269,                0.91743,                0.99863,                      1,                  0.995,                0.98106,                0.22049,                0.30925,                0.88666,              0.0001784,              0.0001784,              0.0001784
                     49,                0.24803,                0.38895,                0.90024,                0.99816,                      1,                  0.995,                0.98348,                0.21603,                0.30266,                0.88687,              0.0001388,              0.0001388,              0.0001388
                     50,                0.24338,                0.36761,                0.86759,                0.99919,                      1,                  0.995,                0.98914,                 0.2001,                 0.2949,                0.87853,               9.92e-05,               9.92e-05,               9.92e-05
