                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.60215,                0.56768,                 1.1428,                 0.7778,                0.72972,                0.82343,                0.56577,                 1.1586,                 1.3163,                 2.1264,              0.0011288,              0.0011288,              0.0011288
                     36,                 0.5894,                0.56425,                 1.1551,                0.88868,                0.66531,                0.80904,                0.55648,                 1.1525,                 1.1529,                 2.0186,              0.0011024,              0.0011024,              0.0011024
                     37,                0.60489,                0.57469,                 1.1549,                0.84503,                0.79167,                0.82326,                0.56776,                 1.0747,                0.95893,                 1.9361,               0.001076,               0.001076,               0.001076
                     38,                0.60848,                0.55813,                 1.1635,                0.72197,                0.79167,                0.65979,                0.25795,                 1.9831,                  1.317,                 3.4215,              0.0010496,              0.0010496,              0.0010496
                     39,                0.61068,                 0.5606,                 1.1842,                0.78094,                0.83333,                0.77695,                0.43138,                 1.6245,                 1.1453,                 2.8089,              0.0010232,              0.0010232,              0.0010232
                     40,                0.59026,                0.53098,                 1.1479,                0.85145,                0.79167,                0.88803,                0.57966,                 1.3226,                0.77351,                 2.3151,              0.0009968,              0.0009968,              0.0009968
                     41,                0.58089,                0.54396,                 1.1578,                0.82786,                   0.75,                0.83816,                 0.5057,                 1.3987,                 1.1798,                 2.3434,              0.0009704,              0.0009704,              0.0009704
                     42,                 0.5515,                0.53887,                 1.1248,                0.73062,                   0.75,                0.82212,                0.46964,                 1.2549,                 1.1911,                 2.2197,               0.000944,               0.000944,               0.000944
                     43,                0.57097,                0.54009,                 1.1467,                0.66513,                0.74501,                0.68734,                0.41976,                 1.2802,                 1.4673,                 2.2583,              0.0009176,              0.0009176,              0.0009176
                     44,                0.54732,                0.49541,                 1.1306,                0.78105,                0.79167,                 0.8588,                0.56073,                0.99763,                 1.1808,                 1.9751,              0.0008912,              0.0008912,              0.0008912
                     45,                0.53876,                0.49671,                  1.121,                0.89937,                0.79167,                0.89998,                0.60096,                 1.0814,                0.89335,                 1.8963,              0.0008648,              0.0008648,              0.0008648
                     46,                0.51748,                0.51301,                 1.1128,                0.95235,                0.83274,                0.94363,                0.63153,                 1.1164,                0.85535,                 1.8949,              0.0008384,              0.0008384,              0.0008384
                     47,                0.54088,                0.48013,                 1.0927,                0.88451,                0.95833,                0.95291,                0.62397,                 1.1258,                0.80931,                 1.9553,               0.000812,               0.000812,               0.000812
                     48,                0.48736,                0.44808,                 1.0746,                0.93937,                0.83333,                0.91983,                0.62822,                 1.0176,                0.83303,                 1.8553,              0.0007856,              0.0007856,              0.0007856
                     49,                0.54592,                0.47321,                  1.149,                0.83241,                0.82801,                0.88651,                0.54939,                 1.1474,                  1.025,                 1.9643,              0.0007592,              0.0007592,              0.0007592
                     50,                0.49809,                0.43716,                 1.0694,                0.86959,                  0.875,                 0.9067,                0.57871,                 1.1168,                0.87639,                 2.0384,              0.0007328,              0.0007328,              0.0007328
                     51,                0.47953,                0.45069,                 1.0722,                0.91589,                0.83333,                0.94742,                0.65916,                 1.0423,                0.77831,                 1.8955,              0.0007064,              0.0007064,              0.0007064
                     52,                0.48005,                0.43101,                 1.0635,                0.95589,                0.90329,                0.95955,                0.67035,                 1.0788,                0.75919,                 1.9742,                0.00068,                0.00068,                0.00068
                     53,                0.48826,                0.42663,                 1.0876,                0.85142,                0.95521,                0.95299,                0.65952,                 1.0712,                0.71939,                 2.0076,              0.0006536,              0.0006536,              0.0006536
                     54,                0.48905,                0.42012,                 1.0964,                0.83573,                  0.875,                 0.8984,                0.58078,                  1.218,                0.91885,                 2.1202,              0.0006272,              0.0006272,              0.0006272
                     55,                0.49112,                0.44039,                  1.099,                0.84431,                0.95833,                0.91707,                0.61641,                 1.1153,                0.89971,                  2.053,              0.0006008,              0.0006008,              0.0006008
                     56,                0.47619,                0.43641,                 1.0821,                0.77266,                0.99149,                0.92397,                0.66287,                0.98839,                 0.7485,                 1.9321,              0.0005744,              0.0005744,              0.0005744
                     57,                 0.4391,                0.40994,                 1.0675,                0.82138,                0.79167,                0.86711,                0.66077,                0.98136,                0.90664,                 1.8392,               0.000548,               0.000548,               0.000548
                     58,                0.48475,                0.44122,                 1.0793,                0.88195,                0.93428,                0.93178,                0.69086,                 1.0159,                  0.864,                 1.7741,              0.0005216,              0.0005216,              0.0005216
                     59,                0.46969,                0.42883,                 1.0696,                0.87927,                0.91056,                0.93148,                0.65648,                0.99245,                0.74672,                 1.7719,              0.0004952,              0.0004952,              0.0004952
                     60,                0.40292,                0.38554,                 1.0234,                0.91525,                0.91667,                0.93761,                0.67674,                0.95596,                0.73368,                  1.882,              0.0004688,              0.0004688,              0.0004688
                     61,                0.38376,                0.37344,                 1.0177,                0.87772,                0.91667,                0.93521,                0.68692,                 1.0095,                 0.7531,                 1.9799,              0.0004424,              0.0004424,              0.0004424
                     62,                0.41575,                0.41943,                 1.0373,                0.79399,                  0.875,                0.91154,                0.65153,                 1.0018,                0.84907,                 1.9801,               0.000416,               0.000416,               0.000416
                     63,                0.42349,                0.39033,                 1.0363,                0.74174,                0.83782,                0.86876,                0.65314,                 1.0079,                0.86691,                 1.9455,              0.0003896,              0.0003896,              0.0003896
                     64,                0.38768,                 0.3818,                 1.0122,                0.75842,                0.91568,                0.86559,                0.62495,                0.97004,                0.88916,                  1.738,              0.0003632,              0.0003632,              0.0003632
                     65,                0.42398,                0.40327,                 1.0401,                0.74597,                  0.875,                 0.8709,                 0.6134,                0.96931,                0.92982,                   1.71,              0.0003368,              0.0003368,              0.0003368
                     66,                0.32329,                0.34477,                0.98428,                0.88039,                0.95833,                0.93287,                0.66525,                0.90963,                0.76885,                 1.6916,              0.0003104,              0.0003104,              0.0003104
                     67,                0.30534,                0.32248,                0.98581,                0.88833,                0.99451,                0.93123,                0.60176,                 1.1618,                 0.7141,                 2.1224,               0.000284,               0.000284,               0.000284
                     68,                0.31615,                0.32779,                0.99117,                0.82232,                      1,                0.93168,                0.67765,                0.96326,                0.71758,                 1.8982,              0.0002576,              0.0002576,              0.0002576
                     69,                0.28388,                0.30175,                0.96365,                0.81381,                0.95833,                0.92724,                0.69768,                0.91919,                0.73162,                 1.8151,              0.0002312,              0.0002312,              0.0002312
                     70,                 0.2667,                0.28658,                 0.9393,                0.90721,                  0.875,                0.93232,                0.73164,                0.88363,                0.66872,                 1.6846,              0.0002048,              0.0002048,              0.0002048
                     71,                0.26249,                0.28502,                0.92524,                0.91197,                0.91667,                0.95041,                0.71009,                 0.8878,                0.63068,                 1.6911,              0.0001784,              0.0001784,              0.0001784
                     72,                0.25604,                0.27373,                0.94127,                0.95407,                 0.8658,                0.94764,                0.71758,                0.86779,                0.64293,                 1.6899,               0.000152,               0.000152,               0.000152
                     73,                0.24668,                0.26415,                 0.9026,                0.91901,                  0.946,                0.95307,                0.72138,                0.87616,                0.63092,                 1.7192,              0.0001256,              0.0001256,              0.0001256
                     74,                0.23842,                0.26323,                 0.9021,                0.85159,                0.95643,                0.94596,                0.72537,                0.86906,                0.63247,                 1.7235,               9.92e-05,               9.92e-05,               9.92e-05
                     75,                0.26543,                0.26693,                0.93187,                0.84869,                0.95833,                0.94187,                 0.7272,                0.84576,                0.65676,                 1.7075,               7.28e-05,               7.28e-05,               7.28e-05
